function,thinking_time,level,died_count,win_count,scores_mean,scores_std,num_moves_mean,num_moves_std,times_mean,times_std
max_visits_25_reward_75,2,3,0,10,1.1,0,15.6,1.496662955,32.51047094,3.122198574
max_visits_75_reward_25,2,3,6,4,-0.1,0.979795897,7.2,7.372923436,15.04127684,15.29780957
max_reward_optimistic,2,3,0,10,1.1,0,14.8,1.6,30.82906134,3.324925596
max_reward_pessimistic,2,3,10,0,-0.9,0,1,0,2.167501783,0.020252883
max_reward_median,2,3,10,0,-0.9,0,1.8,1.326649916,3.814375949,2.743692598
max_reward,0.1,4,0,10,1.1,0,15.8,1.886796226,2.914833474,0.345553608
max_visits,0.1,4,6,4,-0.1,0.979795897,8.4,6.666333325,1.573401999,1.176918114
max_visits_50_reward_50,0.1,4,2,8,0.7,0.8,12.6,5.462600113,2.321550965,0.95362578
max_visits_25_reward_75,0.1,4,0,10,1.1,0,14.2,0.6,2.620823121,0.112640296
max_visits_75_reward_25,0.1,4,4,6,0.3,0.979795897,10.4,7.472616677,1.920774341,1.320240735
max_reward_optimistic,0.1,4,7,3,-0.3,0.916515139,7,5.099019514,1.311655068,0.901966908
max_reward_pessimistic,0.1,4,10,0,-0.9,0,4.7,1.187434209,0.903369236,0.212568067
max_reward_median,0.1,4,10,0,-0.9,0,3,1.788854382,0.609283781,0.316137498
max_reward,0.5,4,0,10,1.1,0,14.2,0.6,8.262972379,0.333762707
max_visits,0.5,4,6,4,-0.1,0.979795897,6.2,6.368673331,3.642361689,3.664301355
max_visits_50_reward_50,0.5,4,3,7,0.5,0.916515139,10.1,5.957348403,5.904723358,3.445224295
max_visits_25_reward_75,0.5,4,0,10,1.1,0,14.6,1.280624847,8.484724951,0.727436099
max_visits_75_reward_25,0.5,4,4,6,0.3,0.979795897,9.2,6.337191807,5.372800326,3.633849655
max_reward_optimistic,0.5,4,0,10,1.1,0,14,0,8.140144134,0.041806468
max_reward_pessimistic,0.5,4,10,0,-0.9,0,1.2,0.6,0.7755229,0.33910001
max_reward_median,0.5,4,10,0,-0.9,0,2.7,1.55241747,1.633022952,0.899733648
max_reward,1,4,0,10,1.1,0,14,0,15.16197948,0.069897487
max_visits,1,4,7,3,-0.3,0.916515139,5.1,5.855766389,5.566331029,6.278948538
max_visits_50_reward_50,1,4,3,7,0.5,0.916515139,10.3,5.675385449,11.17447491,6.085597663
max_visits_25_reward_75,1,4,0,10,1.1,0,14,0,15.16381786,0.044526247
max_visits_75_reward_25,1,4,7,3,-0.3,0.916515139,5.1,5.855766389,5.583904719,6.313785194
max_reward_optimistic,1,4,0,10,1.1,0,14,0,15.15589402,0.032930752
max_reward_pessimistic,1,4,10,0,-0.9,0,1,0,1.165178466,0.020332194
max_reward_median,1,4,10,0,-0.9,0,1.8,0.979795897,2.017792654,1.058519337
max_reward,2,4,0,10,1.1,0,14,0,29.15039825,0.04307586
max_visits,2,4,4,6,0.3,0.979795897,8.8,6.368673331,18.3623677,13.2349462
max_visits_50_reward_50,2,4,2,8,0.7,0.8,11.6,4.820788317,24.17321815,9.981552751
max_visits_25_reward_75,2,4,0,10,1.1,0,14,0,29.16353469,0.037696849
max_visits_75_reward_25,2,4,7,3,-0.3,0.916515139,5.1,5.855766389,10.66296904,12.1405724
max_reward_optimistic,2,4,0,10,1.1,0,14,0,29.15523255,0.04623459
max_reward_pessimistic,2,4,10,0,-0.9,0,1,0,2.156675148,0.018902839
max_reward_median,2,4,10,0,-0.9,0,3,1.183215957,6.310431123,2.453500266
max_reward,0.1,5,9,1,-0.7,0.6,25.5,3.774917218,4.568798137,0.661984071
max_visits,0.1,5,10,0,-0.9,0,14.2,11.20535586,2.561968446,1.961040722
max_visits_50_reward_50,0.1,5,10,0,-0.9,0,18.3,8.637708029,3.305569673,1.529433095
max_visits_25_reward_75,0.1,5,9,1,-0.7,0.6,25.3,3.034798181,4.520427155,0.527129675
max_visits_75_reward_25,0.1,5,10,0,-0.9,0,5.3,8.149233093,1.015385628,1.436897392
max_reward_optimistic,0.1,5,10,0,-0.9,0,3.5,0.670820393,0.705423284,0.114247463
max_reward_pessimistic,0.1,5,10,0,-0.9,0,10.4,8.452218644,1.909913254,1.489711208
max_reward_median,0.1,5,10,0,-0.9,0,2.1,1.445683229,0.446183515,0.252925564
max_reward,0.5,5,9,1,-0.7,0.6,23.1,3.726929031,13.42702727,2.169651776
max_visits,0.5,5,10,0,-0.9,0,7.9,10.7373181,4.6385463,6.199945338
max_visits_50_reward_50,0.5,5,10,0,-0.9,0,6.7,8.343260753,3.944996858,4.815744097
max_visits_25_reward_75,0.5,5,7,3,-0.3,0.916515139,25.9,4.085339643,15.03580697,2.372605876
max_visits_75_reward_25,0.5,5,10,0,-0.9,0,15.1,8.836854644,8.778046703,5.093129272
max_reward_optimistic,0.5,5,6,4,-0.1,0.979795897,12.2,9.346657156,7.124072361,5.398974369
max_reward_pessimistic,0.5,5,10,0,-0.9,0,1.2,0.6,0.77114563,0.348697208
max_reward_median,0.5,5,10,0,-0.9,0,3.1,1.7,1.864739919,0.971647208
max_reward,1,5,10,0,-0.9,0,19.9,4.825971405,21.52001512,5.199756254
max_visits,1,5,9,1,-0.7,0.6,10.5,10.15135459,11.40818598,10.96564704
max_visits_50_reward_50,1,5,10,0,-0.9,0,10.2,9.516301803,11.06866443,10.26810456
max_visits_25_reward_75,1,5,7,3,-0.3,0.916515139,23.1,6.090155991,24.9934108,6.573474253
max_visits_75_reward_25,1,5,10,0,-0.9,0,12.1,8.251666498,13.14700725,8.913251537
max_reward_optimistic,1,5,2,8,0.7,0.8,15.4,6.248199741,16.70972817,6.724354159
max_reward_pessimistic,1,5,10,0,-0.9,0,1,0,1.16960094,0.031829387
max_reward_median,1,5,10,0,-0.9,0,2,1.341640786,2.232341123,1.445443541
max_reward,2,5,9,1,-0.7,0.6,19.3,4.075536774,40.20368686,8.464002895
max_visits,2,5,10,0,-0.9,0,8.4,9.340235543,17.55422482,19.42243087
max_visits_50_reward_50,2,5,10,0,-0.9,0,17.8,6.4,37.06112354,13.30076284
max_visits_25_reward_75,2,5,9,1,-0.7,0.6,18.9,2.7,39.37033842,5.612076445
max_visits_75_reward_25,2,5,10,0,-0.9,0,6.5,7.736278175,13.57849994,16.04792191
max_reward_optimistic,2,5,0,10,1.1,0,18.2,0.6,37.91869683,1.251370295
max_reward_pessimistic,2,5,10,0,-0.9,0,1,0,2.162365985,0.027302962
max_reward_median,2,5,10,0,-0.9,0,2.6,1.428285686,5.479119158,2.970562703
max_reward,0.1,6,1,9,0.9,0.6,29.9,9.38562731,5.366930652,1.649356984
max_visits,0.1,6,10,0,-0.9,0,8.2,5.055689864,1.523666692,0.901211728
max_visits_50_reward_50,0.1,6,9,1,-0.7,0.6,14.8,12.58411697,2.695958757,2.229235749
max_visits_25_reward_75,0.1,6,0,10,1.1,0,31.6,5.2,5.678919339,0.913816756
max_visits_75_reward_25,0.1,6,10,0,-0.9,0,5.3,1.417744688,1.014683771,0.263205503
max_reward_optimistic,0.1,6,5,5,0.1,1,15.5,10.67005155,2.82290709,1.889540755
max_reward_pessimistic,0.1,6,10,0,-0.9,0,14.3,6.293647591,2.593296003,1.11610423
max_reward_median,0.1,6,10,0,-0.9,0,4.7,1.1,0.906372571,0.195871883
max_reward,0.5,6,1,9,0.9,0.6,26.1,9.126335519,15.16648083,5.283331796
max_visits,0.5,6,10,0,-0.9,0,4.2,1.077032961,2.490970182,0.608446459
max_visits_50_reward_50,0.5,6,8,2,-0.5,0.8,13,10.63954886,7.569212675,6.128972947
max_visits_25_reward_75,0.5,6,2,8,0.7,0.8,24.6,12.15894732,14.31584167,7.032454003
max_visits_75_reward_25,0.5,6,10,0,-0.9,0,4.5,1.204159458,2.680452752,0.686015586
max_reward_optimistic,0.5,6,3,7,0.5,0.916515139,17.4,8.811356309,10.10964353,5.071424054
max_reward_pessimistic,0.5,6,10,0,-0.9,0,3.6,0.489897949,2.157085562,0.274754056
max_reward_median,0.5,6,10,0,-0.9,0,4.6,0.8,2.723221755,0.461407789
max_reward,1,6,1,9,0.9,0.6,22.1,7.21734023,23.87825406,7.785904028
max_visits,1,6,10,0,-0.9,0,6.3,3.742993454,6.866854382,4.032634362
max_visits_50_reward_50,1,6,10,0,-0.9,0,6.8,4.512205669,7.39623003,4.84590281
max_visits_25_reward_75,1,6,1,9,0.9,0.6,22.9,7.647875522,24.74990859,8.254155029
max_visits_75_reward_25,1,6,10,0,-0.9,0,5.6,1.2,6.116951871,1.294892096
max_reward_optimistic,1,6,0,10,1.1,0,24.6,2.2,26.56932404,2.382570257
max_reward_pessimistic,1,6,10,0,-0.9,0,3.8,0.4,4.164588022,0.439054886
max_reward_median,1,6,10,0,-0.9,0,4.2,0.979795897,4.592237973,1.059789072
max_reward,2,6,0,10,1.1,0,22.6,0.916515139,47.00896962,1.935204895
max_visits,2,6,9,1,-0.7,0.6,9,7.224956747,18.79253886,15.01646462
max_visits_50_reward_50,2,6,8,2,-0.5,0.8,11.3,9.581753493,23.54312623,19.90068174
max_visits_25_reward_75,2,6,0,10,1.1,0,23,1,47.84570391,2.064086872
max_visits_75_reward_25,2,6,10,0,-0.9,0,7,4.049691346,14.60842733,8.412142815
max_reward_optimistic,2,6,1,9,0.9,0.6,21.8,5.963220606,45.35389674,12.39050786
max_reward_pessimistic,2,6,10,0,-0.9,0,3.4,0.489897949,7.14363718,1.008909305
max_reward_median,2,6,10,0,-0.9,0,5.1,1.220655562,10.66463189,2.537142859
max_reward,0.1,7,2,8,0.7,0.8,10.1,2.913760457,1.851684141,0.518881207
max_visits,0.1,7,9,1,-0.7,0.6,6,2.828427125,1.133406353,0.492172588
max_visits_50_reward_50,0.1,7,5,5,0.1,1,8.3,4.001249805,1.545346832,0.710937282
max_visits_25_reward_75,0.1,7,0,10,1.1,0,11.4,0.8,2.085839748,0.153635059
