function,thinking_time,level,died_count,win_count,scores_mean,scores_std,num_moves_mean,num_moves_std,times_mean,times_std
max_reward_optimistic,2,0,0,10,1.1,0.0,17.0,1.0,35.44039378166199,2.091184294712063
max_reward_pessimistic,2,0,10,0,-0.9,0.0,4.2,1.8330302779823362,8.805044889450073,3.820139070338107
max_reward_median,2,0,10,0,-0.9,0.0,6.4,1.9078784028338913,13.365575361251832,3.9601424272048282
max_reward,0.1,1,0,10,1.1,0.0,16.6,1.2806248474865698,2.984853434562683,0.22256236417334868
max_visits,0.1,1,6,4,-0.09999999999999998,0.9797958971132714,12.2,5.035871324805668,2.2156312227249146,0.8806885921232622
max_visits_50_reward_50,0.1,1,0,10,1.1,0.0,16.6,0.9165151389911679,2.992342162132263,0.14657270926349655
max_visits_25_reward_75,0.1,1,0,10,1.1,0.0,17.4,1.8,3.1439868450164794,0.3131683894980697
max_visits_75_reward_25,0.1,1,0,10,1.1,0.0,16.4,0.7999999999999999,2.963293671607971,0.14204697498211974
max_reward_optimistic,0.1,1,0,10,1.1,0.0,18.4,2.4979991993593593,3.304887127876282,0.45455020089487114
max_reward_pessimistic,0.1,1,10,0,-0.9,0.0,10.0,3.03315017762062,1.8196019887924195,0.5482164475556043
max_reward_median,0.1,1,10,0,-0.9,0.0,6.9,2.3853720883753127,1.2812554359436035,0.42344018878406525
max_reward,0.5,1,0,10,1.1,0.0,16.2,0.6,9.36605088710785,0.3578705828290552
max_visits,0.5,1,6,4,-0.09999999999999998,0.9797958971132714,11.6,4.521061822182927,6.769969582557678,2.5958579862175113
max_visits_50_reward_50,0.5,1,0,10,1.1,0.0,16.0,0.0,9.263029217720032,0.05175435706349187
max_visits_25_reward_75,0.5,1,0,10,1.1,0.0,16.0,0.0,9.27287404537201,0.04525124882918754
max_visits_75_reward_25,0.5,1,0,10,1.1,0.0,16.2,0.6,9.384257602691651,0.3363779627191424
max_reward_optimistic,0.5,1,0,10,1.1,0.0,18.6,2.009975124224178,10.7719087600708,1.149895002510037
max_reward_pessimistic,0.5,1,10,0,-0.9,0.0,5.0,0.0,2.9472049474716187,0.02255765513281013
max_reward_median,0.5,1,10,0,-0.9,0.0,8.2,3.026549190084311,4.7878624439239506,1.7427426432919872
max_reward,1,1,1,9,0.9,0.6000000000000001,14.9,3.3,16.099833798408508,3.530531163861998
max_visits,1,1,6,4,-0.1,0.9797958971132713,11.1,5.752390807307862,12.002260947227478,6.190977414650453
max_visits_50_reward_50,1,1,0,10,1.1,0.0,16.4,1.2,17.705022072792055,1.276637618652564
max_visits_25_reward_75,1,1,0,10,1.1,0.0,16.8,1.5999999999999999,18.150365829467773,1.741298873549919
max_visits_75_reward_25,1,1,1,9,0.9,0.6000000000000001,15.0,3.0,16.195784544944765,3.201478853699762
max_reward_optimistic,1,1,0,10,1.1,0.0,16.8,1.3266499161421599,18.13564612865448,1.4370910442333402
max_reward_pessimistic,1,1,10,0,-0.9,0.0,3.2,0.6,3.517903733253479,0.6506070069869493
max_reward_median,1,1,10,0,-0.9,0.0,6.3,1.9000000000000001,6.840653204917908,2.0436122295609955
